label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,-2.873518416676876e-16,0.999999970592767,-1.8333261874374709,2.2239897451703676,4.057315932607839,0.999999970592767,6.966105252550002e-17,0.9999999644031741,-1.829256328425294,1.8810008519559402,3.7102571803812343,0.9999999644031741,5.224578939412501e-17,0.9999999610477316,-2.041490315873721,2.1135481942558627,4.155038510129584,0.9999999610477316,1.3061447348531253e-17,0.9999999998243544,-2.3721554788602233,1.6076259711533911,3.9797814500136144,0.9999999998243544,0.0,0.9999999995817064,-2.170986465597991,2.99733172196523,5.168318187563221,0.9999999995817064,-3.483052626275001e-17,0.9999999997993364,-2.1440367048869176,2.114318878936123,4.2583555838230405,0.9999999997993364,0.2700873269098634,0.12025063763485525,0.21295953682861593,0.09166556076402611,0.27468355636298064,0.172268069923671
0,-2.3296483139675417e-16,0.9999999457580158,-1.904208426785795,2.0288778475869056,3.933086274372701,0.9999999457580158,5.824120784918854e-17,0.999999944960579,-1.9130818474415998,1.666682089663202,3.5797639371048016,0.9999999449605791,-6.988944941902625e-17,0.9999999083110783,-2.8808057948689103,1.941114595556491,4.821920390425401,0.9999999083110783,9.318593255870166e-17,0.9999999997974381,-2.4558256822148614,1.7283912416432512,4.184216923858113,0.9999999997974381,4.659296627935083e-17,0.9999999995541493,-2.4683445590517663,2.5959752067443307,5.064319765796097,0.9999999995541493,6.988944941902625e-17,0.9999999996896801,-2.02235333899072,2.0899779343386657,4.112331273329385,0.99999999968968,0.18955253919513088,0.07305577874451545,0.2224300853631197,0.07244901919557135,0.2504618982534841,0.11863208924151615
0,1.1102230246251565e-16,0.9999999714077901,-2.3320504914883475,2.0225430689562685,4.354593560444616,0.9999999714077901,-2.9269516103754126e-16,0.9999999842164542,-1.7033656262392463,1.8206266088371732,3.5239922350764195,0.9999999842164542,3.0278809762504267e-16,0.9999999648256459,-2.117911814935639,2.5922859452720313,4.71019776020767,0.9999999648256459,0.0,0.9999999999315227,-1.6888578111974208,1.545826460432262,3.234684271629683,0.9999999999315227,6.055761952500853e-17,0.999999999806997,-2.391112002533504,2.3747355465897577,4.7658475491232615,0.999999999806997,2.0185873175002847e-17,0.9999999999126555,-1.8937936453463107,1.918226649669713,3.8120202950160236,0.9999999999126555,0.2147667081612923,0.08672472083281822,0.30879665980092597,0.0661903306569062,0.2468855454082773,0.08627425437588761
0,-3.249433242805336e-17,0.9999999624831915,-2.5356581580141353,2.5568734558156425,5.092531613829777,0.9999999624831915,6.498866485610672e-17,0.9999999859175043,-1.494080674697751,1.7927738454056676,3.286854520103419,0.9999999859175043,-2.166288828536891e-17,0.9999999657057081,-1.8822631125537392,2.15486090947117,4.037124022024909,0.9999999657057081,0.0,0.9999999999340767,-1.5938153333860978,1.7041039873170083,3.297919320703106,0.9999999999340767,0.0,0.9999999998294866,-2.529487502032101,2.3503152161679304,4.879802718200031,0.9999999998294866,-1.2997732971221344e-16,0.9999999999279199,-1.5678935074236788,1.539193871637638,3.107087379061317,0.9999999999279199,0.42065088809947204,0.07898379439766762,0.24891133566063017,0.05544455397462646,0.23595003034510997,0.05920295028839344
0,-1.5571959306430767e-16,0.9999999740623454,-3.1783142917389693,2.206083417327876,5.384397709066845,0.9999999740623454,1.2688263138573217e-16,0.9999999861235468,-1.3303292445429213,2.0419263708975954,3.3722556154405168,0.9999999861235468,0.0,0.9999999773704893,-3.3565221702690513,1.7423591741099993,5.09888134437905,0.9999999773704893,4.6139138685720794e-17,0.9999999999423249,-1.2307597080088237,1.6545319580377882,2.885291666046612,0.9999999999423249,-8.074349270001139e-17,0.9999999998628848,-2.3353953008162587,2.0095886653493658,4.344983966165625,0.9999999998628848,-5.767392335715098e-17,0.9999999999235966,-1.7048257337955273,1.6187188118450648,3.3235445456405923,0.9999999999235966,0.28105398272583715,0.12247738366844609,0.3473659469050932,0.07851893822881305,0.2340865161007798,0.09456469235970996
0,-1.0027820867582059e-16,0.9999999658034086,-2.540525460504167,3.0112911839376038,5.551816644441771,0.9999999658034086,0.0,0.9999999773034245,-1.9643675529185585,1.9893758843616343,3.9537434372801927,0.9999999773034245,1.5041731301373088e-16,0.9999999586369509,-2.7011221968597594,3.475208312937014,6.176330509796774,0.9999999586369509,-1.4325458382260084e-17,0.9999999998569221,-1.7799337932506625,1.9961237866338715,3.776057579884534,0.9999999998569221,2.865091676452017e-17,0.9999999997977704,-1.8834410201614389,2.3877726889361384,4.2712137090975775,0.9999999997977704,1.1460366705808067e-16,0.999999999816667,-1.5695217095189309,2.605151535267057,4.174673244785988,0.9999999998166671,0.21974286722197714,0.10094738388392685,0.2372715123516962,0.07987856267157173,0.18799853467538663,0.11097149176033302
0,1.962825236906354e-17,0.99999998015024,-2.213893054687685,2.992698926652585,5.206591981340271,0.99999998015024,0.0,0.9999999845414094,-2.1580277923508273,1.5039577415571947,3.6619855339080223,0.9999999845414094,-9.81412618453177e-17,0.9999999779946446,-2.678483351001848,2.153012484360185,4.831495835362033,0.9999999779946446,7.851300947625416e-17,0.9999999998961849,-1.7845420349630547,2.5612768057214024,4.345818840684457,0.9999999998961849,4.4163567830392966e-17,0.9999999998208497,-1.9913701342945642,2.2197533563465375,4.211123490641102,0.9999999998208497,3.925650473812708e-17,0.9999999998801797,-1.8255245693513888,2.566576690478828,4.392101259830216,0.9999999998801797,0.21300666906844212,0.10050230934788916,0.17593648411835192,0.08307159394625445,0.21824796029050758,0.12849437321707483
0,2.740664837931815e-16,0.9999999467756893,-2.2670271679904395,1.8780821533521166,4.145109321342556,0.9999999467756893,1.6240976817373719e-16,0.999999943878284,-1.8906444061237,1.6293096264970044,3.5199540326207046,0.999999943878284,-6.597896832058073e-17,0.9999999157239823,-3.635048583313957,2.0148156533882755,5.649864236702232,0.9999999157239822,0.0,0.9999999997993673,-2.034479050809053,1.5217758684371023,3.5562549192461557,0.9999999997993673,6.090366306515145e-17,0.9999999995283191,-2.9800091026286637,2.9667688856164682,5.946777988245132,0.9999999995283191,-6.090366306515145e-17,0.9999999996796943,-2.119414892500957,2.0169285888891095,4.136343481390067,0.9999999996796943,0.19901927086238155,0.08661558720024093,0.1993985071058164,0.0622822577322819,0.2351667462708266,0.14867503841753413
0,4.75560098737075e-16,0.9999999633181033,-1.6039823675004827,2.5245651125491055,4.128547480049589,0.9999999633181034,-1.6784474073073233e-16,0.9999999536700276,-2.1345969375187024,1.979041318898217,4.11363825641692,0.9999999536700276,-4.196118518268308e-17,0.9999999489031483,-2.1256893834153434,2.8818020880918183,5.007491471507162,0.9999999489031483,-6.993530863780514e-17,0.9999999998619951,-1.5093297695617272,2.22839616056866,3.737725930130387,0.9999999998619951,4.196118518268308e-17,0.9999999996796222,-2.5932637382343686,2.3498479547344626,4.943111692968831,0.9999999996796222,2.7974123455122054e-17,0.9999999997228817,-2.1700772757633335,2.205636235609188,4.375713511372521,0.9999999997228817,0.19760813259926585,0.09735154138073104,0.20430864110233765,0.07365869365053637,0.24222864763833746,0.1695049659563117
0,1.952040482857418e-16,0.9999999560064469,-6.64682158000051,1.7973010193399523,8.444122599340462,0.9999999560064468,-5.2054412876197816e-17,0.9999999364803182,-1.6745882220493868,2.2858639482485272,3.960452170297914,0.9999999364803182,2.86299270819088e-16,0.999999901233953,-2.7745987477994825,2.8995106639811272,5.674109411780609,0.9999999012339529,-7.808161931429673e-17,0.9999999997975807,-2.2219976674942963,1.5743709580998997,3.796368625594196,0.9999999997975806,7.808161931429673e-17,0.9999999997317788,-3.1151799493988896,2.026065247645162,5.141245197044052,0.9999999997317788,-1.0410882575239563e-16,0.9999999997092345,-2.0007243710166955,2.0881943709946094,4.088918742011305,0.9999999997092344,0.26475546747310735,0.1275251026673596,0.3182336449584449,0.081789281621791,0.20100097758110694,0.15198202033886946
0,-5.99429056916957e-16,0.9999999524956196,-2.2148203890372598,1.777447752763222,3.9922681418004817,0.9999999524956196,1.4620220900413585e-17,0.9999999456958099,-1.6799079475079015,1.877016514995559,3.556924462503461,0.9999999456958099,1.3158198810372225e-16,0.99999992553122,-2.308219603195807,2.743742449947624,5.051962053143431,0.99999992553122,-2.1930331350620375e-17,0.9999999998550355,-2.1229680092145924,1.5168580639063616,3.639826073120954,0.9999999998550355,2.78697960914134e-17,0.9999999997078477,-2.309179680320744,2.199107142473598,4.508286822794342,0.9999999997078477,5.848088360165434e-17,0.9999999997076312,-1.8500166486357013,2.1079002496787034,3.9579168983144046,0.9999999997076312,0.20191913623875637,0.0890521401138413,0.19024927024183824,0.05580506805198407,0.20744260585497643,0.14189510476174236
0,4.1276341496437356e-16,0.9999999551983073,-2.1056442354714635,2.4928015019637586,4.598445737435222,0.9999999551983073,5.896620213776765e-17,0.9999999457866584,-1.9912515360160137,1.547795400220484,3.5390469362364976,0.9999999457866584,4.4224651603325735e-17,0.9999999410540756,-1.8085294460662538,2.4090514461129455,4.2175808921792,0.9999999410540756,0.0,0.9999999998466752,-1.6968993918845514,2.0649414021740244,3.7618407940585756,0.9999999998466752,5.896620213776765e-17,0.9999999997276109,-3.6447819995993385,2.409948455353335,6.054730454952674,0.9999999997276109,0.0,0.9999999997347714,-1.9008891026755081,2.266235426173657,4.167124528849165,0.9999999997347714,0.16006711428612055,0.08356308932814847,0.15813717873506286,0.06049203766129839,0.1879311761188929,0.11990713657791237
